ID,Name,Kazym.Khanty,Source,Example,Comment
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Mária Sipos (p.c. 2021),,
UT059,Is there a future participle?,0,Mária Sipos (p.c. 2021),,
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Rédei 1968:50,UT060,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Mária Sipos (p.c. 2021),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Rédei 1968:36,"UT063-1, UT063-2",
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,Mária Sipos (p.c. 2021),,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Mária Sipos (p.c. 2021),,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Steinitz 1989:392,UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Steinitz 1989:479,,"Usually the negative marker and the main verb are not separated, e.g. ʌapǝtmit săχ-ǝʌ aʌ ɛŋχ-e, …! (seventh fur.coat-3SG NEG.IMP take.on-SG<2SG) ’Don’t take on his seventh fur coat!’."
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Mária Sipos (p.c. 2021),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,0,Mária Sipos (p.c. 2021),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,0,Mária Sipos (p.c. 2021),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Xomljak 2002:70,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Mária Sipos (p.c. 2021),,
UT075,Can adpositions have person/number marking?,1,Xomljak 2002:52,UT075,
UT076,Are there adpositions that show a tripartite system?,0,Mária Sipos (p.c. 2021),,"In the North Khanty nominal paradigm there are only NOM, LOC, LAT cases. Source is expressed with the postposition ewǝʌt 'from', e.g. cf. ŏsǝm iʌpijn 'inside the pillow', ŏsǝm iʌpija 'into the pillow' and ŏsǝm iʌpi ewǝʌt 'from the pillow'."
UT077,Is there case compounding?,0,Mária Sipos (p.c. 2021),,
UT078,Are there morphological cases only used with pronouns?,1,Mária Sipos (p.c. 2021),"UT078-1, UT078-2, UT078-3","In the North Khanty nominal paradigm there are only NOM, LOC, LAT cases (e.g., χɔt house.NOM, χɔt-a house-LAT, χɔt-ǝn house-LOC). Regarding personal pronouns, there are NOM, ACC, DAT cases."
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Mária Sipos (p.c. 2021),,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Mária Sipos (p.c. 2021),"UT080-1, UT080-2, UT080-3",
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Mária Sipos (p.c. 2021),,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Mária Sipos (p.c. 2021),,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Mária Sipos (p.c. 2021),,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Mária Sipos (p.c. 2021),,
UT086,Is there a locative case that expresses goal?,1,Xomljak 2002:66,UT086,
UT087,Is there a locative case that expresses location?,1,Xomljak 2002:76,UT087,
UT088,Is there a locative case that expresses source?,0,Mária Sipos (p.c. 2021),,
UT089,Is there case syncretism for goal and location marking?,0,Mária Sipos (p.c. 2021),,
UT090,Is there case syncretism for location and source marking?,0,Mária Sipos (p.c. 2021),,
UT091,Are there two sets of local cases?,0,Mária Sipos (p.c. 2021),,
UT092,Are there three or more sets of local cases?,0,Mária Sipos (p.c. 2021),,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,0,Mária Sipos (p.c. 2021),,
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Mária Sipos (p.c. 2021),,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Mária Sipos (p.c. 2021),,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Mária Sipos (p.c. 2021),,
UT097,Is there a dedicated case that expresses equativity?,0,Mária Sipos (p.c. 2021),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Mária Sipos (p.c. 2021),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Mária Sipos (p.c. 2021),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,1,Xomljak 2002:76,UT100,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Mária Sipos (p.c. 2021),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Xomljak 2002:72,"UT102-1, UT102-2",
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Mária Sipos (p.c. 2021),"UT204-1, UT204-2, UT204-3",
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Xomljak 2002:76,UT104,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Xomljak 2002:70,UT105,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Mária Sipos (p.c. 2021),"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Mária Sipos (p.c. 2021),,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Mária Sipos (p.c. 2021),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Mária Sipos (p.c. 2021),,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Mária Sipos (p.c. 2021),,Case suffixes follow the number and possessive suffixes.
UT205,Are case and number marked cumulatively across the paradigm?,1,Mária Sipos (p.c. 2021),"UT205-1, UT205-2",
UT112,Are there different words for mother’s brother and father’s brother?,1,"Steinitz 1966:182, 317","UT112-1, UT112-2, UT112-3",
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,"Steinitz 1966:98, 982","UT113-1, UT113-2",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Mária Sipos (p.c. 2021),"UT114-1, UT114-2",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Mária Sipos (p.c. 2021),,
UT116,Is there contrastive length for consonants?,0,Mária Sipos (p.c. 2021),,
UT117,Is there contrastive length for vowels?,1,Mária Sipos (p.c. 2021),"UT117-1, UT117-2","In the Kazym dialect, unlike in other North Khanty  dialects, not only the quantity, but also the quality of the corresponding vowels are different."
UT118,Is there a contrast between short and long unstressed vowels?,0,Mária Sipos (p.c. 2021),,
UT119,Is there a contrast in the length of geminate consonants?,0,Mária Sipos (p.c. 2021),,
UT120,Are there more than two phonological quantities?,0,Mária Sipos (p.c. 2021),,
UT121,Are there extralong syllables?,1,Mária Sipos (p.c. 2021),"UT121-1, UT121-2",
UT122,Is the main foot structure trochaic?,1,Mária Sipos (p.c. 2021),UT122,
UT123,Is there lexically distinctive word stress?,0,Mária Sipos (p.c. 2021),,
UT124,Is there morphologically conditioned stress?,0,Mária Sipos (p.c. 2021),,
UT125,Is there fixed primary stress?,0,Mária Sipos (p.c. 2021),,
UT126,Is there stress in heavy syllables?,1,Kaksin 2010:36–37,"UT126-1, UT126-2, UT126-3, UT126-4",
UT127,Is there non-initial primary stress?,0,Mária Sipos (p.c. 2021),,
UT128,Is there palatal vowel harmony?,0,Mária Sipos (p.c. 2021),,
UT129,Is there velar vowel harmony?,0,Mária Sipos (p.c. 2021),,
UT130,Is there labial vowel harmony?,0,Mária Sipos (p.c. 2021),,
UT131,Are there closing diphthongs?,0,Mária Sipos (p.c. 2021),,
UT132,Are there opening diphthongs?,0,Mária Sipos (p.c. 2021),,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,1,Mária Sipos (p.c. 2021),"UT133-1, UT133-2","In the Kazym dialect, unlike in other North Khanty dialects, not only the quantity, but also the quality of the corresponding vowels are different."
UT134,Are there full vs. reduced vowels as contrastive subsets?,1,Mária Sipos (p.c. 2021),,
UT135,Is there a high front rounded vowel /y/?,0,Mária Sipos (p.c. 2021),,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Mária Sipos (p.c. 2021),,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Mária Sipos (p.c. 2021),,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Mária Sipos (p.c. 2021),,
UT139,Is there a low back rounded vowel /ɒ/?,0,Mária Sipos (p.c. 2021),,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,Mária Sipos (p.c. 2021),,"They are allophones, however, they are often differentiated in both the Cyrillic alphabet and in phonetic transcriptions."
UT141,Are there word-initial consonant clusters?,0,Mária Sipos (p.c. 2021),,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Mária Sipos (p.c. 2021),,
UT143,Are there consonant clusters in the syllable coda?,0,Mária Sipos (p.c. 2021),,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,0,Mária Sipos (p.c. 2021),,
UT145,Are there word-final clusters of three or more consonants?,0,Mária Sipos (p.c. 2021),,
UT146,Are there palatalized alveolar consonants?,0,Mária Sipos (p.c. 2021),,ť is possible but rare.
UT147,Are there palatalized labial and velar consonants?,0,Mária Sipos (p.c. 2021),,
UT148,Is there a palatal stop?,0,Mária Sipos (p.c. 2021),,
UT149,Is there a palatal nasal /ɲ/?,1,Mária Sipos (p.c. 2021),"UT149-1, UT149-2",
UT150,Is there a palatal lateral /ʎ/?,1,Mária Sipos (p.c. 2021),"UT150-1, UT150-2",
UT151,Is there a velar nasal /ŋ/?,1,Mária Sipos (p.c. 2021),"UT151-1, UT151-2",Word-initial ŋ is prohibited.
UT152,Is there an alveolar affricate /t͡s/?,0,Mária Sipos (p.c. 2021),,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Mária Sipos (p.c. 2021),,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Mária Sipos (p.c. 2021),"UT154-1, UT154-2","In the Kazym Khanty dialect there is a distinction between these two sibilants. However, it is not true of all the northern dialects. In the northernmost one (Obdorsk Khanty), there is no š."
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Mária Sipos (p.c. 2021),,
UT156,Is there a glottal stop /ʔ/?,0,Mária Sipos (p.c. 2021),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Mária Sipos (p.c. 2021),,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Mária Sipos (p.c. 2021),,
UT159,Is there a laryngeal fricative /h/?,0,Mária Sipos (p.c. 2021),,
UT160,Is there a voiced velar fricative /ɣ/?,0,Mária Sipos (p.c. 2021),,
UT161,Is there a voiceless velar fricative /x/?,1,Mária Sipos (p.c. 2021),UT161,
UT162,Is there a voiced dental fricative /ð/?,0,Mária Sipos (p.c. 2021),,
UT163,Is there a labio-velar approximant /w/?,0,Mária Sipos (p.c. 2021),,
UT164,Is there a voiceless labiodental fricative /f/?,0,Mária Sipos (p.c. 2021),,
UT165,Is there radical qualitative consonant gradation?,0,Mária Sipos (p.c. 2021),,
UT166,Is there quantitative consonant gradation?,0,Mária Sipos (p.c. 2021),,
