ID,Name,Surgut.Khanty,Source,Example,Comment
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,Márta Csepregi (p.c. 2020),,Particle ʌüwə ’let’ + indicative.
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Márta Csepregi (p.c. 2020),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Márta Csepregi (p.c. 2020),,Indicative is used.
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Márta Csepregi (p.c. 2020),,
UT035,Is there a reflexive conjugation?,0,Márta Csepregi (p.c. 2020),,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Márta Csepregi (p.c. 2020),,"There is syncretism in the active present tense forms of objective conjugation, e.g., 2DU, 3DU, 2PL: wär-ʌ-əttən (wär- ‘make’)."
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Márta Csepregi (p.c. 2020),,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Márta Csepregi (p.c. 2020),,Such usages could be regarded as instances of Russian influence.
UT201,Can an infinitival verb form be used in a directive function?,0,Csepregi 2017:166-168 ,,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Márta Csepregi (p.c. 2020),UT043,
UT044,Are there sentences without overt verbal arguments?,1,Márta Csepregi (p.c. 2020),"UT044-1, UT044-2",
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Márta Csepregi (p.c. 2020),,"No copula is needed, e.g. păɣ-am jəm aj-qo;son-1SG (good small_man) ‘My son is a nice young man'."
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Márta Csepregi (p.c. 2020),UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Márta Csepregi (p.c. 2020),UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Márta Csepregi (p.c. 2020),"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,1,Márta Csepregi (p.c. 2020),UT049,
UT050,Can standard negation be asymmetric in the present tense?,0,Márta Csepregi (p.c. 2020),,Standard negation is symmetric. Negative sentences only differ from affirmative sentences in a way that they entail the negative particle әntә.
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Márta Csepregi (p.c. 2020),UT051,
UT052,Is there a special negator that combines with non-finite forms?,0,Márta Csepregi (p.c. 2020),,
UT053,Are there special negative non-finite forms?,1,Márta Csepregi (p.c. 2020),"UT053-1, UT053-2",
UT054,Is there an impersonal passive construction?,1,Márta Csepregi (p.c. 2020),UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Márta Csepregi (p.c. 2020),,
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Márta Csepregi (p.c. 2020),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Márta Csepregi (p.c. 2020),"UT057-1, UT057-2, UT057-3",
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Márta Csepregi (p.c. 2020),"UT058-1, UT058-2, UT058-3",
UT059,Is there a future participle?,0,Márta Csepregi (p.c. 2020),,
UT060,Are there participles that can encode their subject with possessive suffixes?,1,Márta Csepregi (p.c. 2020),"UT060-1, UT060-2, UT060-3",
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Márta Csepregi (p.c. 2020),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Márta Csepregi (p.c. 2020),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,Márta Csepregi (p.c. 2020),,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Márta Csepregi (p.c. 2020),,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Márta Csepregi (p.c. 2020),UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Csepregi 2017:in passim,,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Márta Csepregi (p.c. 2020),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Márta Csepregi (p.c. 2020),"UT071-1, UT071-2, UT071-3","The stucture of action nominalization: participle + semantically empty word. Nominative, accusative, genitive don't have any markers."
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Márta Csepregi (p.c. 2020),"UT072-1, UT072-2",The nominative is used.
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Márta Csepregi (p.c. 2020),"UT073-1, UT073-2, UT073-3",
UT074,Is there a bound superlative degree marker on property words?,0,Márta Csepregi (p.c. 2020),,The particle mata is used.
UT075,Can adpositions have person/number marking?,1,Márta Csepregi (p.c. 2020),"UT075-1, UT075-2",
UT076,Are there adpositions that show a tripartite system?,1,Márta Csepregi (p.c. 2020),"UT076-1, UT076-2, UT076-3","Adpositions expressing goal, source, and location typically differ."
UT077,Is there case compounding?,0,Márta Csepregi (p.c. 2020),,
UT078,Are there morphological cases only used with pronouns?,1,Márta Csepregi (p.c. 2020),"UT078-1, UT078-2, UT078-3, UT078-4",Accusative and dative cases are only found with pronouns.
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Márta Csepregi (p.c. 2020),,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Márta Csepregi (p.c. 2020),"UT080-1, UT080-2",
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,1,Márta Csepregi (p.c. 2020),"UT082-1, UT082-2",The dative is used only with personal pronouns.
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Márta Csepregi (p.c. 2020),,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Márta Csepregi (p.c. 2020),"UT084-1, UT084-2",
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Márta Csepregi (p.c. 2020),,The ablative -i appears in this function.
UT086,Is there a locative case that expresses goal?,1,Márta Csepregi (p.c. 2020),UT086,
UT087,Is there a locative case that expresses location?,1,Márta Csepregi (p.c. 2020),UT087,
UT088,Is there a locative case that expresses source?,1,Márta Csepregi (p.c. 2020),UT088,
UT089,Is there case syncretism for goal and location marking?,0,Márta Csepregi (p.c. 2020),,
UT090,Is there case syncretism for location and source marking?,0,Márta Csepregi (p.c. 2020),,
UT091,Are there two sets of local cases?,0,Márta Csepregi (p.c. 2020),,
UT092,Are there three or more sets of local cases?,0,Márta Csepregi (p.c. 2020),,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Márta Csepregi (p.c. 2020),"UT093-1, UT093-2",
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Márta Csepregi (p.c. 2020),,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Márta Csepregi (p.c. 2020),"UT095-1, UT095-2",
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Márta Csepregi (p.c. 2020),,
UT097,Is there a dedicated case that expresses equativity?,0,Márta Csepregi (p.c. 2020),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Márta Csepregi (p.c. 2020),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Márta Csepregi (p.c. 2020),,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Márta Csepregi (p.c. 2020),,It is necessary to use the dual form.
UT101,Can the marking of the possessor in the attributive construction vary?,0,Márta Csepregi (p.c. 2020),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Márta Csepregi (p.c. 2020),"UT102-1, UT102-2",
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Márta Csepregi (p.c. 2020),"UT204-1, UT204-2",
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Márta Csepregi (p.c. 2020),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Márta Csepregi (p.c. 2020),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Márta Csepregi (p.c. 2020),"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Márta Csepregi (p.c. 2020),,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Márta Csepregi (p.c. 2020),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Márta Csepregi (p.c. 2020),,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Márta Csepregi (p.c. 2020),,px + case
UT205,Are case and number marked cumulatively across the paradigm?,0,Márta Csepregi (p.c. 2020),,
UT112,Are there different words for mother’s brother and father’s brother?,1,Márta Csepregi (p.c. 2020); Csepregi 1999,"UT112-1, UT112-2, UT112-3, UT112-4",
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Márta Csepregi (p.c. 2020); Csepregi 1999,"UT113-1, UT113-2, UT113-3, UT113-4",
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Márta Csepregi (p.c. 2020),"UT114-1, UT114-2",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Márta Csepregi (p.c. 2020),,
UT116,Is there contrastive length for consonants?,0,Márta Csepregi (p.c. 2020),,
UT117,Is there contrastive length for vowels?,1,Márta Csepregi (p.c. 2020),"UT117-1, Ut117-2","The vowels o - ŏ differ in length, other pairings (a - ă, u - ǚ) differ other ways as well (see UT133)."
UT118,Is there a contrast between short and long unstressed vowels?,0,Márta Csepregi (p.c. 2020),,
UT119,Is there a contrast in the length of geminate consonants?,0,Márta Csepregi (p.c. 2020),,
UT120,Are there more than two phonological quantities?,0,Márta Csepregi (p.c. 2020),,
UT121,Are there extralong syllables?,0,Márta Csepregi (p.c. 2020),,
UT122,Is the main foot structure trochaic?,1,Márta Csepregi (p.c. 2020),"UT122-1, UT122-2",
UT123,Is there lexically distinctive word stress?,0,Márta Csepregi (p.c. 2020),,
UT124,Is there morphologically conditioned stress?,0,Márta Csepregi (p.c. 2020),,
UT125,Is there fixed primary stress?,0,Márta Csepregi (p.c. 2020),,"If the second syllable contains a long vowel, the second syllable is stressed, e.g. sǝra:n 'Zyrian'."
UT126,Is there stress in heavy syllables?,1,Márta Csepregi (p.c. 2020),"UT126-1, UT126-2, UT126-3","Long vowels appear typically in the first syllable, they are always stressed. Length of vowels is not marked in writing."
UT127,Is there non-initial primary stress?,0,Márta Csepregi (p.c. 2020),,
UT128,Is there palatal vowel harmony?,0,Márta Csepregi (p.c. 2020),,There was a palatal vowel harmony about hundred years ago but not anymore.
UT129,Is there velar vowel harmony?,0,Márta Csepregi (p.c. 2020),,
UT130,Is there labial vowel harmony?,0,Márta Csepregi (p.c. 2020),,
UT131,Are there closing diphthongs?,0,Márta Csepregi (p.c. 2020),,
UT132,Are there opening diphthongs?,0,Márta Csepregi (p.c. 2020),,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,1,Márta Csepregi (p.c. 2020),"UT133-1, UT133-2",Only in o there is no qualitative contrast (see UT117).
UT134,Are there full vs. reduced vowels as contrastive subsets?,1,Márta Csepregi (p.c. 2020),"UT134-1, UT134-2, UT134-3, UT134-4",
UT135,Is there a high front rounded vowel /y/?,0,Márta Csepregi (p.c. 2020),,ü is pronounced reduced
UT136,Is there a mid-high front rounded vowel /ø/?,0,Márta Csepregi (p.c. 2020),,ö is pornounced reduced
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Márta Csepregi (p.c. 2020),"UT137-1, UT137-2",
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Márta Csepregi (p.c. 2020),,
UT139,Is there a low back rounded vowel /ɒ/?,1,Márta Csepregi (p.c. 2020),"UT139-1, UT139-2",
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Márta Csepregi (p.c. 2020),"UT140-1, UT140-2",They also differ in length.
UT141,Are there word-initial consonant clusters?,0,Márta Csepregi (p.c. 2020),,"Consonant clusters are dropped, e.g. Rus. труба > turpa ’kémény’, Rus. школа  > əškola ’school’, Rus. спасибо > pasipa ’thanks’."
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Márta Csepregi (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,Márta Csepregi (p.c. 2020),UT143,"nasal/liquid/trill + plosive/affricate: qump ’wave’, jəŋk ’water’, måńť ’fairytale’, čanč ’knee’, kaʌt ’deity’, sårt ’pike’"
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Márta Csepregi (p.c. 2020),"UT144-1, UT144-2",Occurs only in the morpheme boundaries.
UT145,Are there word-final clusters of three or more consonants?,0,Márta Csepregi (p.c. 2020),,
UT146,Are there palatalized alveolar consonants?,0,Márta Csepregi (p.c. 2020),,
UT147,Are there palatalized labial and velar consonants?,0,Márta Csepregi (p.c. 2020),,
UT148,Is there a palatal stop?,1,Márta Csepregi (p.c. 2020),"UT148-1, UT148-2",
UT149,Is there a palatal nasal /ɲ/?,1,Márta Csepregi (p.c. 2020),"UT149-1, UT149-2",
UT150,Is there a palatal lateral /ʎ/?,1,Márta Csepregi (p.c. 2020),"UT150-1, UT150-2",
UT151,Is there a velar nasal /ŋ/?,1,Márta Csepregi (p.c. 2020),"UT151-1, UT151-2, UT151-3",Only occurs in the middle or at the end of a word.
UT152,Is there an alveolar affricate /t͡s/?,0,Márta Csepregi (p.c. 2020),,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Márta Csepregi (p.c. 2020),"UT153-1, UT153-2, UT153-3, UT153-4",
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Márta Csepregi (p.c. 2020),,"They are allophones, e.g. pyrəs/pyrəš ’old'."
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Márta Csepregi (p.c. 2020),,
UT156,Is there a glottal stop /ʔ/?,0,Márta Csepregi (p.c. 2020),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",1,Márta Csepregi (p.c. 2020),"UT157-1, UT157-2","A distinctive feature of Surgut Khanty consonantism is the presence of labialized velars (kw, ŋw, and most frequently ɣw) in environments where neighbouring Vakh dialects have plain velars preceded by rounded vowels, e.g. V jöŋ ‘ten’ =  Surg jeŋw, V öɣi ‘girl’ = Surg ä̌ɣwi, V lök ‘road’ = Surg lekw, V joɣən ‘river’ = Surg jăɣwən. However, in ortography there is no distinction, ɣo, ko and ŋo are often written using w, k and ŋ. "
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Márta Csepregi (p.c. 2020),,
UT159,Is there a laryngeal fricative /h/?,0,Márta Csepregi (p.c. 2020),,
UT160,Is there a voiced velar fricative /ɣ/?,1,Márta Csepregi (p.c. 2020),"UT160-1, UT160-2, UT160-3",Only occurs in the middle or at the end of a word.
UT161,Is there a voiceless velar fricative /x/?,0,Márta Csepregi (p.c. 2020),,
UT162,Is there a voiced dental fricative /ð/?,0,Márta Csepregi (p.c. 2020),,
UT163,Is there a labio-velar approximant /w/?,1,Márta Csepregi (p.c. 2020),"UT163-1, UT163-2, UT163-3, UT163-4",
UT164,Is there a voiceless labiodental fricative /f/?,0,Márta Csepregi (p.c. 2020),,
UT165,Is there radical qualitative consonant gradation?,0,Márta Csepregi (p.c. 2020),,
UT166,Is there quantitative consonant gradation?,0,Márta Csepregi (p.c. 2020),,
