ID,Name,Finnish,Source,Example,Comment
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Hakulinen et al. 2004:in passim,,
UT103,Are singular and plural possessee distinguished in the possessive declension? ,0,Hakulinen et al. 2004: § 95,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Hakulinen et al. 2004:in passim,,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,"Hakulinen et al. 2004: § 95-96, 1294",,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Hakulinen et al. 2004: § 714,,"kuka 'who' is used for humans, mikä 'what' is used for animals, inanimate objects"
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Hakulinen et al. 2004: § 736,,A different relative pronoun is used.
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Hakulinen et al. 2004: § 736,,A different relative pronoun is used.
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Hakulinen et al. 2004: § 717,"UT109-1, UT109-2",
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Hakulinen et al. 2004: § 78,,
UT111,Are case and number marked cumulatively across the paradigm?,1,Hakulinen et al. 2004: § 78,UT111,
UT112,Are there different words for mother’s brother and father’s brother?,1,"Kielitoimiston sanakirja:eno, setä",,
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Kielitoimiston sanakirja:in passim,,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Kielitoimiston sanakirja:in passim,,There is a difference only for 'young'.
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Kielitoimiston sanakirja:in passim,,
UT116,Is there contrastive length for consonants?,1,Hakulinen et al. 2004: § 9,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Hakulinen et al. 2004: § 9,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,1,Hakulinen et al. 2004: § 9,"UT118-1, UT118-2",
UT119,Is there a contrast in the length of geminate consonants?,0,"Hakulinen et al. 2004: § 9, 27",,
UT120,Are there more than two phonological quantities?,0,Hakulinen et al. 2004: § 9,,
UT121,Are there extralong syllables?,1,Hakulinen et al. 2004: § 11-12,"UT121-1, UT121-2",
UT122,Is the main foot structure trochaic?,1,Hakulinen et al. 2004: § 13,UT122,
UT123,Is there lexically distinctive word stress?,0,Hakulinen et al. 2004: § 13,,
UT124,Is there morphologically conditioned stress?,1,Hakulinen et al. 2004: § 13,UT124,
UT125,Is there fixed primary stress?,1,Hakulinen et al. 2004: § 13,UT125,
UT126,Is there stress in heavy syllables?,0,Hakulinen et al. 2004: § 13,,
UT127,Is there non-initial primary stress?,0,Hakulinen et al. 2004: § 13,,
UT128,Is there palatal vowel harmony?,1,Hakulinen et al. 2004: § 15; Karlsson 2018: 28-31,UT128,
UT129,Is there velar vowel harmony?,0,Hakulinen et al. 2004: § 15; Karlsson 2018: 28-31,,
UT130,Is there labial vowel harmony?,0,Hakulinen et al. 2004: § 15; Karlsson 2018: 28-31,,
UT131,Are there closing diphthongs?,1,Hakulinen et al. 2004: § 21; Karlsson 2018: 21-22,UT131,
UT132,Are there opening diphthongs?,1,Hakulinen et al. 2004: § 21; Karlsson 2018: 21-22,UT132,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,"Hakulinen et al. 2004: § 2, 18",,
