ID,Name,Meadow.Mari,Source,Example,Comment
UT076,Are there adpositions that show a tripartite system?,1,Riese et al. 2019:185-186,"UT076-1, UT076-2, UT076-3",
UT077,Is there case compounding?,1,Riese et al. 2019:375,UT077,"“Genitive forms, especially of pronouns, can be used as nominals meaning ‘my one, mine’, ‘your one, yours’, ‘his/her own one, his/hers’, etc. In this case, they can be declined as nouns. Other suffixes, also case suffixes, can follow the genitive suffix.”"
UT078,Are there morphological cases only used with pronouns?,0,Jeremy Bradley (p.c. 2020),,The morphologization of certain postpositions (e.g. дек ‘to’) is proceeding faster on demonstrative pronouns: туддек ‘to him/her’ (Riese et al. 2019:136).
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Riese et al. 2019:109,,"The nominative case is used on both occasions, e.g. пӧрт [pørt] 'house' кок пӧрт [kok pørt] 'two houses'."
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Riese et al. 2019:109,"UT080-1, UT080-2",
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,1,Riese et al. 2019:78-81,UT082,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Saarinen 2022:437-443,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Saarinen 2022:437-443,,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Saarinen 2022:437-443,,
UT086,Is there a locative case that expresses goal?,1,Riese et al. 2019:84-88,UT086,
UT087,Is there a locative case that expresses location?,1,Riese et al. 2019:82-84,UT087,
UT088,Is there a locative case that expresses source?,0,Riese et al. 2019:172-174,,The postposition деч [det͡ɕ] ‘from’ could be said to be a de-facto case for which the morphologization is complete; it is only description tradition and orthography that justifies its classification as a postposition rather than a case suffix (Riese et al. 2019:163-164)
UT089,Is there case syncretism for goal and location marking?,0,Riese et al. 2019:82-88,,
UT090,Is there case syncretism for location and source marking?,0,Jeremy Bradley (p.c. 2020),,
