ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT021,Миян вотöдз сiя мунöма ни вöлi,mijɑn votɘd͡ʑ sijɑ munɘmɑ ɲi vɘli,mijɑn vo-tɘd͡ʑ sijɑ mun-ɘmɑ ɲi vɘl-i,1PL.GEN arrive-CVB 3SG go-2PST.3SG already be-PST.3SG,S/he had already left before we arrived,Fedoseeva Elena (p.c. 2023)
UT023,ог vs. эг,og vs. eg,o-g vs. e-g,NEG.PRS-1SG vs. NEG.PST-1SG,I don't vs. I didn't,Lytkin 1962:246
UT037,абу гижöмась,ɑbu giʒɘmɑɕ,ɑbu giʒ-ɘmɑɕ,NEG.EX write-2PST.2PL/3PL,you/they haven't written,Lytkin 1962:254
UT200,Вузалöны пизь,vizɑlɘnɨ piʑ,vizɑl-ɘnɨ piʑ,sell-PRS.3PL flour.ACC,Flour is being sold,Lytkin 1962:247
UT040,"Мый кöдзан, сiйö и босьтан","mɨj kɘd͡ʑɑn, sijɘ i boɕtɑn","mɨj kɘd͡ʑ-ɑn, sijɘ i boɕt-ɑn",what.ACC sow-FUT.2SG that.ACC and take-FUT.2SG,"What you sow, that you shall reap",Lytkin 1962:247
UT043,"Колхоз корис МТС-ись трактор, мед чожажык гöрны","kolhoz koris MTS-iɕ traktor, med t͡ɕoʒɑʒɨk gɘrnɨ ","kolhoz kor-is MTS-iɕ trɑktor, med t͡ɕoʒɑ-ʒɨk gɘr-nɨ ",kolkhoz request-PST.3SG MTS-ELA tractor[ACC] in.order.to quickly-CMPR plough-INF ,The kolkhoz requested a tractor from the MTS in order to plough more quickly,Karavaev et al. 1940:83
UT044,зэрö,zerɘ,zer-ɘ,rain-PRS.3SG,It's raining,Lytkin 1962:248
UT202,вöлi велöтiсьöн,vɘli velɘtiɕɘn,vɘl-i velɘtiɕ-ɘn,be-PST.1SG teacher-INS,[I] was a teacher,Lytkin 1962:254
UT047,Мамö гортын,mɑmɘ gortɨn,mɑm-ɘ gort-ɨn,mather-POSS.1SG home-INE,My mother is at home,Karavaev et al. 1940:15
UT048-1,Зэр бöрын бура быдмö сю и турун,zer bɘrɨn burɑ bɨdmɘ ɕu i turun,zer bɘr-ɨn bur-ɑ bɨdm-ɘ ɕu i turun,rain backside-INE good-DER grow-PRS.3SG cereal and grass,Cereals and grass grow well after rain,Lytkin 1962:310
UT048-2,Вуграсись дернитiс вугырсö и черисö уськöтiс,vugrɑɕiɕ ɟerɲitis vugɨrsɘ i t͡ɕerisɘ uɕkɘtis,vugrɑɕ-iɕ ɟerɲit-is vugɨr-sɘ i t͡ɕeri-sɘ uɕkɘt-is,fish.with.a.fishing.rod-PTCP jerk-PST.3SG fishing.rod-ACC.POSS.3SG and fish-ACC.POSS.3SG drop-PST.3SG,The fisherman pulled the fishing rod and dropped the fish,Karavaev et al. 1940:68
UT048-3,"Вуграсись дернитiс вугырсö, и чериыс мезмис",vugrɑɕiɕ ɟerɲitis vugɨrsɘ i t͡ɕeriɨs mezmis,vugrɑɕ-iɕ ɟerɲit-is vugɨr-sɘ i t͡ɕeri-ɨs mezm-is,fish.with.a.fishing.rod-PTCP jerk-PST.3SG fishing.rod-ACC.POSS.3SG and fish-POSS.3SG get.free-PST.3SG,The fisherman pulled the fishing rod and the fish got free,Karavaev et al. 1940:68
UT049,абу дона,ɑbu donɑ,ɑbu donɑ,NEG.EX expensive,not expensive,Batalova and Krivoshchёkova-Gantman 1985:15
UT050,гижа : ог гиж,giʒɑ : og giʒ,giʒ-ɑ : o-g giʒ,write-PRS.1SG : NEG.PRS-1SG write.CNG.SG,I write : I don't write,Lytkin 1962:253
UT052-1,муыс не гöрöм,muɨs ɲe gɘrɘm,mu-ɨs ɲe gɘr-ɘm,ground-DEF NEG plow-PTCP.PST,The ground is not plowed,Gribanov 1940:179
UT052-2,муыс абу гöрöм,muɨs ɑbu gɘrɘm,mu-ɨs ɑbu gɘr-ɘm,ground-DEF NEG plow-PTCP.PST,The ground is not plowed,Gribanov 1940:179
UT053-1,велöтчытöм морт,velɘtt͡ɕɨtɘm mort,velɘtt͡ɕɨ-tɘm mort,learn-PTCP.NEG person,uneducated person,Gribanov 1940:176
UT053-2,Мийö уджалiм дугдывтöг,Mijɘ ud͡ʒɑlim dugdɨvtɘg,Mijɘ ud͡ʒɑl-im dugd-ɨv-tɘg,1PL work-PST.1PL quit-MOM-CVB.NEG,We worked without pauses,Gribanov 1940:180
UT055,велöтчись морт,velɘtt͡ɕiɕ mort,velɘtt͡ɕ-iɕ mort,learn-PTCP.PRS person,learning person,Gribanov 1940:176
UT057,Мамö пыртiс тшак косьтан плита,mɑmɘ pɨrtis t͡ʃɑk koɕtɑn pʎitɑ,mɑm-ɘ pɨrt-is t͡ʃɑk koɕt-ɑn pʎitɑ,mother-POSS.1SG bring.in-PST.3SG mushroom dry-PTCP board.ACC,My mother brought the board for drying mushrooms in[to the room],Gribanov 1940:176
UT058,велöтчытöм морт,velɘtt͡ɕɨtɘm mort,velɘtt͡ɕɨ-tɘm mort,learn-PTCP.NEG person,uneducated person,Gribanov 1940:176
UT063-1,пöжалöм нянь,pɘʒɑlɘm ɲɑɲ,pɘʒɑl-ɘm ɲɑɲ,bake-PTCP.PST bread,baked bread,Nikolay Kuznetsov (p.c. 2020)
UT063-2,нянь пöжалöм,ɲɑɲ pɘʒɑlɘm,ɲɑɲ pɘʒɑl-ɘm,bread bake-NMLZ,baking bread,Nikolay Kuznetsov (p.c. 2020)
UT064-1,уджалiсь морт,ud͡ʒɑliɕ mort,ud͡ʒɑl-iɕ mort,work-PTCP.PRS person,working person,Lytkin 1962:279; Mayshev 1940:72
UT064-2,уджалiсь,ud͡ʒɑliɕ,ud͡ʒɑliɕ,work-NMLZ,"worker, employee",Lytkin 1962:279; Mayshev 1940:72
UT066-1,чай ю!,t͡ɕɑj ju!,t͡ɕɑj ju!,tea[ACC] drink[IMP],drink tea!,Fedoseeva Elena (p.c. 2023)
UT066-2,ю чай!,ju t͡ɕɑj!,ju t͡ɕɑj!,drink[IPM] tea[ACC],drink tea!,Fedoseeva Elena (p.c. 2023)
UT067,эн менö велöт,en menɘ velɘt,en menɘ velɘt,NEG 1SG[ACC] teach[IMP.2SG],Don't teach me!,Fedoseeva Elena (p.c. 2023)
UT072,кучик керöм,kut͡ɕik kerɘm,kut͡ɕik ker-ɘm,leather do-NMLZ,currying leather,Batalova and Krivoshchёkova-Gantman 1985:171
UT073,машинаэс вильöсь,mɑʃinɑes viʎɘɕ,mɑʃinɑ-es viʎ-ɘɕ,car-PL new-PL,The cars are new,Lytkin 1962:218
UT074,меддона,meddonɑ,med-dona,SPRL-expensive,the most expensive,Lytkin 1962:216
UT075-1,вылам,vɨlɑm,vɨl-ɑm,surface-POSS.1SG,on me,Lytkin 1962:307
UT075-2,вылат,vɨlɑt,vɨl-ɑt,surface-POSS.2SG,on you,Lytkin 1962:307
UT076-1,Би дынö пуксьыны,bi dɨnɘ pukɕɨnɨ,bi dɨn-ɘ pukɕ-ɨnɨ,fire near-ILL sit-INF,to sit near the fire,Batalova and Krivoshchёkova-Gantman 1985:133
UT076-2,Нiя чöлiсö асланыс пызаннэз дынын,nijɘ t͡ɕɘlisɘ ɑslɑnɨs pɨzɑnnez dɨnɨn,nijɘ t͡ɕɘl-isɘ ɑslɑnɨs pɨzɑnn-ez dɨn-ɨn,They be.silent-PST.3PL their.own table-PL near-INE,They sat silently at their tables,Batalova and Krivoshchёkova-Gantman 1985:134
UT076-3,Пызан дынiсь мунны,pɨzɑn dɨniɕ munnɨ,pɨzɑn dɨn-iɕ mun-nɨ,desk near-ELA go-INF,to go away from the table,Batalova and Krivoshchёkova-Gantman 1985:133
UT077,Керкуэсланьсянь локтö морт,kerkueslɑɲɕɑɲ loktɘ mort,kerku-es-lɑɲ-ɕɑɲ lokt-ɘ mort,house-PL-APPR-EGR come-PRS.3SG person,A man comes from the side of houses,Fedoseeva Elena (p.c. 2023)
UT080,куим морт,kuim mort,kuim mort,three person,three people,Lytkin 1962:227
UT082,Ме гижа вонöлö письмо,me giʒɑ vonɘlɘ piɕmo,me giʒ-ɑ von-ɘ-lɘ piɕmo,I write-PRS.1SG brother-POSS.1SG-DAT letter-ACC,I'm writing letter to my brother,Lytkin 1962:185
UT083-1,Ме ветлi Москваöдз,me vetli moskvɑɘd͡ʑ,me vetl-i moskvɑ-ɘd͡ʑ,I go.and.com.back-PST.1SG Moscow-TERM,I went to Moscow and came back,Lytkin 1962:193
UT083-2,Таво шогдiыс быдмис моросви,tɑvo ʃogdiɨs bɨdmis morosvi,tɑvo ʃogdi-ɨs bɨdm-is moros-vi,This.year wheat-POSS.3SG grow-PST.3SG breast-TERM(vertical),Wheat has grown to breast this year,Lytkin 1962:193
UT084,Нiя талун дыр пукалiсö битöг,nijɑ tɑlun dɨr pukɑlisɘ bitɘg,nijɑ tɑlun dɨr pukɑl-isɘ bi-tɘg,They today for.a.long.time sit-PST.3PL light-ABE,Today they sat for a long time without light,Lytkin 1962:188
UT085,виль туйöт,viʎ tujɘt,viʎ tuj-ɘt,new way-PROL,on a new way,Lytkin 1962:192
UT086,Челядь пырисö школаö,t͡ɕeʎɑɟ pɨrisɘ ʃkolɑɘ,t͡ɕeʎɑɟ pɨr-isɘ ʃkolɑ-ɘ,children enter-PST.3PL school-ILL,Children went into the school,Lytkin 1962:191
UT087,Ошшес олöны вöрын,oʃʃes olɘnɨ vɘrɨn,oʃʃ-es ol-ɘnɨ vɘr-ɨn,bear-PL live-PRS.3PL forest-INE,Bears live in a forest,Lytkin 1962:189
UT088,Челядь локтöны школаись,t͡ɕeʎɑɟ loktɘnɨ ʃkolɑiɕ,t͡ɕeʎɑɟ lokt-ɘnɨ ʃkolɑ-iɕ,children come-PRS.3PL school-ELA,Children come from the school,Lytkin 1962:193
UT089,зонам,zonɑm,zon-ɑm,son-INE/ILL.POSS.1SG,"in my son, into my son",Tsypanov 1999:51
UT091-1,посадын : посадö : посадiсь,posɑdɨn : posɑdɘ : posɑdiɕ,posɑd-ɨn : posɑd-ɘ : posɑd-iɕ,village-INE : village-ILL : village-ELA,in a village : into a village : from a village,Tsypanov 1999:41
UT091-2,пызанвын : пызанвö : пызанвись,pɨzɑnvɨn : pɨzɑnvɘ : pɨzɑnviɕ,pɨzɑn-vɨn : pɨzɑn-vɘ : pɨzɑn-viɕ,table-ADE : table-ALL : table-ABL,on a table : onto a table : from a table,Tsypanov 1999:42
UT092,посадланьын : посадланьö : посадланись,"posɑdlɑɲɨn, posɑdlɑɲɘ, posɑdlɑɲiɕ","posɑd-lɑɲɨn, posɑd-lɑɲɘ, posɑd-lɑɲiɕ","village-APPR.INE, village-APPR.ILL, village-APPR.ELA","on the area of the village, to the direction of the village, from the direction of the village",Tsypanov 1999:42
UT093,Пессö поткöтöны черöн,pessɘ potkɘtɘnɨ t͡ɕerɘn,pes-sɘ potkɘt-ɘnɨ t͡ɕer-ɘn,firewood-ACC.POSS.3SG chip-PRS.3PL axe-INS,Firewood is chipped with an axe,Lytkin 1962:187
UT203,Петя Колякöт вуграсьöны,pecɑ koʎɑkɘt vugrɑɕɘnɨ,pecɑ koʎɑ-kɘt vugrɑɕ-ɘnɨ,Petya.NOM Kolya-COM fish.with.a.fishing.rod-PRS.3PL,Petya and Kolya are fishing with a fishing rod,Lytkin 1962:188
UT101-1,мöс сюр,mɘs ɕur,mɘs ɕur,cow.NOM horn,cow's horn,Lytkin 1962:185
UT101-2,Ванялöн айыс,vɑɲɑlɘn ɑjɨs,vɑɲɑ-lɘn ɑj-ɨs,Vanya-GEN father-POSS.3SG,Vanya's father,Lytkin 1962:185
UT101-3,Ванялiсь книгасö,vɑɲɑliɕ kɲigɑsɘ,vɑɲɑ-liɕ kɲigɑ-sɘ,Vanya-ABL book-ACC.POSS.3SG,Vanya's book (O),Lytkin 1962:185
UT102,мöс сюр,mɘs ɕur,mɘs ɕur,cow.NOM horn,cow's horn,Lytkin 1962:185
UT104,Вöрын олiс ош. Ошыт öддьöн ыджыт,vɘrɨn olis oʃ. oʃɨt ɘɟɟɘn ɨd͡ʒɨt,vɘr-ɨn ol-is oʃ. oʃ-ɨt ɘɟɟɘn ɨd͡ʒɨt,forest-INE live-PST.3SG bear. bear-POSS.2SG very big,A bear lived in the forest. The bear is very big,Mayshev 1940:26
UT105,Вöрöт мунö нывка. Нывкаыслöн киас куд,vɘrɘt munɘ nɨvkɑ. nɨvkɑɨslɘn kiɑs kud,vɘr-ɘt mun-ɘ nɨv-kɑ. nɨv-kɑ-ɨs-lɘn ki-ɑs kud,forest-PROL go-PRS.3SG girl-DIM. girl-DIM-POSS.3SG-GEN hand-INE.3SG basket.NOM,A girl goes in the forest. A basket is in the girl's hand,Mayshev 1940:26
UT107,"каньыс, кöда узьö","kɑɲɨs, kɘdɑ uʑɘ","kɑɲ-ɨs, kɘdɑ uʑ-ɘ",cat-POSS.3SG who sleep-PRS.3SG,the cat who is sleeping,Fedoseeva Elena (p. c. 2023)
UT108,"Кöрт шогмö рудаись, кöдö шедтöны му пытшкись.","kɘrt ʃogmɘ rudɑiɕ, kɘdɑ ʃedtɘnɨ mu pɨt͡ʃkiɕ","kɘrt ʃogm-ɘ rudɑ-iɕ, kɘd-ɘ ʃedt-ɘnɨ mu pɨt͡ʃkiɕ","iron obtain-PRS.3SG ore-ELA, who-ACC extract-PRS-3PL ground from.inside","iron is obtained from ore, which is extracted from the ground",Karavaev et al. 1940:78
UT109,сы бокын,sɨ bokɨn,sɨ bok-ɨn,3SG.GEN side-INE,next to him/her,Lytkin 1962:238
UT114-1,виль vs. важ,viʎ vs. vɑʒ,,,new vs. old,"Batalova and Krivoshchёkova-Gantman 1985:73, 53, 476, 366"
UT114-2,том vs. пöрись,tom vs. pɘriɕ,,,young vs. old,"Batalova and Krivoshchёkova-Gantman 1985:73, 53, 476, 366"
UT123-1,юан vs. ю'ан,,ju-ɑn vs. ju-ɑn,drink-PRS.2SG vs. drink-NMLZ,you drink vs. a drink,"Lytkin 1962:94, 260"
UT123-2,вештыштны vs. веш'тыштны,,veʃt-ɨʃt-nɨ vs. veʃt-ɨʃt-nɨ,move-DIM-INF vs. move-PRF-INF,to move a little vs. to move away,"Lytkin 1962:94, 260"
UT124-1,топыт vs. то'пытжык,topɨt vs. topɨtʒɨk,topɨt vs. topɨt-ʒɨk,dense vs. dense-CMPR,dense vs. denser,Lytkin 1962:94
UT124-2,миян vs. ми'янкöт,mijɑn vs. mijɑnkɘt,mijɑn vs. mijɑn-kɘt,1PL.GEN vs. 1PL-COM,our vs. with us,Lytkin 1962:94
UT127-1,керкуок,kerkuok,kerku-ok,house-DIM,a little house,Lytkin 1962:93
UT127-2,нёльöт,ɲoʎɘt,ɲoʎ-ɘt,four-ORD,fourth,Lytkin 1962:93
UT137,шыр,ʃɨr,,,mouse,Batalova and Krivoshchёkova-Gantman 1985:576
UT138,шöр,ʃɘr,,,centre,Batalova and Krivoshchёkova-Gantman 1985:567
UT141-1,стул,stul,,,chair,Lytkin 1962:79
UT141-2,трин-трон,trin-tron,,,whack-whack,Lytkin 1962:79
UT141-3,квать (<куать),kvɑc (<kuɑc),,,six,Lytkin 1962:79
UT143,бордтöм,bordtɘm,bord-tɘm,wing-CAR,wingless,Batalova and Krivoshchёkova-Gantman 1985:37
UT144,бордтöм,bordtɘm,bord-tɘm,wing-CAR,wingless,Batalova and Krivoshchёkova-Gantman 1985:37
UT148,нять,ɲɑc,,,mud,Mayshev 1940:9
UT149,нянь,ɲɑɲ,,,bread,Batalova and Krivoshchёkova-Gantman 1985:284
UT150,нёль,ɲoʎ,,,four,Batalova and Krivoshchёkova-Gantman 1985:272
UT153,чача,t͡ʃɑt͡ʃɑ,,,toy,Batalova and Krivoshchёkova-Gantman 1985:528
UT154,сыр vs. шыр,sɨr vs. ʃɨr,,,fringe vs. mouse,"Batalova and Krivoshchёkova-Gantman 1985:461, 576"
UT155-1,бус,bus,,,dust,"Batalova and Krivoshchёkova-Gantman 1985:47, 100, 131"
UT155-2,гожум,goʒum,,,summer,"Batalova and Krivoshchёkova-Gantman 1985:47, 100, 131"
UT155-3,дук,duk,,,smell,"Batalova and Krivoshchёkova-Gantman 1985:47, 100, 131"
