ID,Name,Central.Veps,Source,Example,Comment
UT146,Are there palatalized dentals? ,1,"Nina Zaiceva, p.c.",sur´ [surʲ] big.NOM.SG vs. suren [ˈsu.ren] big.GEN.SG,"Also vel´l´ 'brother', än´ 'voice', n´el´ 'four' etc."
UT147,Are there palatalized labials and velars? ,1,Zaiceva 1981,"säng´ [sʲæŋʲgʲ] 'bed', säp´ [sʲæpʲ] 'gall, bile'",
UT148,Is there palatal stop [c]?,0,"Nina Zaiceva, p.c.",,
UT149,Is there palatal nasal [ɲ]?,0,"Nina Zaiceva, p.c.",,
UT150, Is there palatal lateral [ʎ]?,0,"Nina Zaiceva, p.c.",,
UT151,Is there phonemic velar nasal [ŋ]?,0,"Nina Zaiceva, p.c.",,"ŋ is an allophone, e.g. kengäd [ˈkeŋ.gæd] 'shoes'"
UT152,Is there dental affricate [t͡s]?,1,"Nina Zaiceva, p.c.",cipuin´e [ˈt͡si.puinʲe] 'chick',
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,"Nina Zaiceva, p.c.","čoma [ˈt͡ʃo.maˑ] 'nice, good, beautiful'",
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,"Nina Zaiceva, p.c.",paštab [ˈpaʃ.tab] (*<paistab) bake.PRS.3SG,paštab *<paistab
UT155,"Are there voiced plosives [b, g, d]?",1,"Nina Zaiceva, p.c.","jüged [ˈjy.ged] 'hard', kodi [ˈko.di] 'house, home', babarm [ˈba.barm]  'raspberry'",
UT156,Is there glottal stop [ˀ]?,0,"Nina Zaiceva, p.c.",,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,"Nina Zaiceva, p.c.",,
UT158,Is there a constraint on word-initial r?,0,"Nina Zaiceva, p.c.",,
UT159,Is there laryngeal fricative [h]?,1,"Nina Zaiceva, p.c.",raha [ˈra.haˑ] 'money',
UT160,Is there voiced velar fricative [ɣ]?,0,"Nina Zaiceva, p.c.",,
UT161,Is there voiceless velar fricative [x]?,0,"Nina Zaiceva, p.c.",,
UT162,Is there voiced dental fricative [ð]?,0,"Nina Zaiceva, p.c.",,
UT163,Is there phonemic labio-velar approximant [w]?,0,"Nina Zaiceva, p.c.",,
UT164,Is there voiceless labiodental fricative [f]?,0,"Nina Zaiceva, p.c.",,
UT165,Is there radical qualitative consonant gradation?,0,"Nina Zaiceva, p.c.",,
UT166,Is there quantitative consonant gradation?,0,"Nina Zaiceva, p.c.",,
