ID,Name,Ter.Saami,Source,Example,Comment
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT035,Is there a reflexive conjugation?,0,Szabó 1968:111-117; Tereshkin 2002:120-134,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Ilya Egorov (p.c. 2025),UT200,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Ilya Egorov (p.c. 2025),UT040,
UT201,Can an infinitival verb form be used in a directive function?,1,Ilya Egorov (p.c. 2025),UT201,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Ilya Egorov (p.c. 2025),"UT043-1, UT043-2",
UT044,Are there sentences without overt verbal arguments?,0,Ilya Egorov (p.c. 2025),,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Ilya Egorov (p.c. 2025),,"Copula can be used for predicate nominals in the 3rd person form of the present tense, but copula-drop is common."
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Ilya Egorov (p.c. 2025),UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Ilya Egorov (p.c. 2025),"UT047-1, UT047-2",Clauses with copula are common as well.
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Ilya Egorov (p.c. 2025),"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT050,Can standard negation be asymmetric in the present tense?,1,Szabó 1968:115-116; Tereshkin 2002:120-134,"UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT052,Is there a special negator that combines with non-finite forms?,0,Szabó 1968:115-116; Tereshkin 2002:120-134,,
UT053,Are there special negative non-finite forms?,1,Korhonen 1974:182-190,UT053,
UT054,Is there an impersonal passive construction?,1,Tereshkin 2002:134,UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Szabó 1985,"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Szabó 1985,,"It cannot be excluded that participles on -m can relativise core participants alongside non-core participants, as its cognate sometimes does in Kildin Saami."
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Szabó 1985,"UT057-1, UT057-2","It cannot be excluded that participles on -m can relativise core participants alongside non-core participants, as its cognate sometimes does in Kildin Saami."
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Korhonen 1974:182-190,UT058,
UT059,Is there a future participle?,0,Szabó 1985,,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Szabó 1985,,"Szabó (1985) provides some examples of tentative possessive suffixes attached to participles (third person only), however, the interpretation of these examples remains somewhat doubtful."
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Szabó 1985,,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Szabó 1985,"UT063-1, UT063-2",
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Szabó 1985,"UT055-2, UT064",
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Szabó 1985,,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Ilya Egorov (p.c. 2025),,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Ilya Egorov (p.c. 2025),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Ilya Egorov (p.c. 2025),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,0,Ilya Egorov (p.c. 2025),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,?,Szabó 1985,,Existing examples are ambiguous. They can be analysed as both ACC and GEN.
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Ilya Egorov (p.c. 2025),"UT073-1, UT073-2",There is little evidence of such an agreement.
UT074,Is there a bound superlative degree marker on property words?,1,Tereshkin 2002:115-116,"UT074-1, UT074-2",
UT075,Can adpositions have person/number marking?,1,Kert 1971:218,"UT075-1, UT075-2",
UT076,Are there adpositions that show a tripartite system?,0,Itkonen 1958:in passim,,
UT077,Is there case compounding?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT078,Are there morphological cases only used with pronouns?,0,Szabó 1968:94-117; Tereshkin 2002:in passim,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Szabó 1968:108-109,UT079,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Szabó 1968:108-109,UT080,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Tereshkin 2002:94-105,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Szabó 1984с:167-169,"UT084-1, UT084-2",
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Tereshkin 2002:94-105,,
UT086,Is there a locative case that expresses goal?,1,Szabó 1984a:28-46,"UT017, UT086",
UT087,Is there a locative case that expresses location?,0,Tereshkin 2002:94-105,,
UT088,Is there a locative case that expresses source?,0,Tereshkin 2002:94-105,,
UT089,Is there case syncretism for goal and location marking?,0,Tereshkin 2002:94-105,,
UT090,Is there case syncretism for location and source marking?,1,Szabó 1984a:7-28,"UT090-1, UT090-2",
UT091,Are there two sets of local cases?,0,Tereshkin 2002:94-105,,
UT092,Are there three or more sets of local cases?,0,Tereshkin 2002:94-105,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Szabó 1984с:159-167,"UT093-1, UT09-2",
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Szabó 1984с:159-167,,"A relatively large group of nouns can form a separate instrumental case, but the commitative maintains polysemy. "
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Szabó 1984с:157-159,"UT095-1, UT095-2",
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Szabó 1984с:157-159,,
UT097,Is there a dedicated case that expresses equativity?,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT101,Can the marking of the possessor in the attributive construction vary?,1,Ilya Egorov (p.c. 2025),"UT101-1, UT101-2",
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Szabó 1968:94-102; Tereshkin 2002:90-113,,
UT204,Are singular and plural possessee distinguished in the possessive declension?,0,Szabó 1968:94-102; Tereshkin 2002:105-108,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Ilya Egorov (p.c. 2025),,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Ilya Egorov (p.c. 2025),,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Itkonen 1958:in passim,"UT 106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,?,Ilya Egorov (p.c. 2025),,"Such examples are not attested in the corpus, but the possibility cannot be ruled out, since this phenomenon is common in the closely related Kildin Saami."
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Ilya Egorov (p.c. 2025),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Ilya Egorov (p.c. 2025),"UT109-1, UT109-2",
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Szabó 1968:94-102; Tereshkin 2002:105-108,UT110,
UT205,Are case and number marked cumulatively across the paradigm?,1,Szabó 1968:94-117,,Number and case are marked comulatively within a case-number marker.
UT112,Are there different words for mother’s brother and father’s brother?,1,Itkonen 1958:in passim,UT112,
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Itkonen 1958:in passim,UT113,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Itkonen 1958:in passim,"UT114-1, UT114-2","There is a strict animacy distinction for the concepts 'new' and 'young'. For the concept 'old', there is a syncretic term ᵛi̮ə̑m̜ɛs̜ 'old (animate/inanimate)' alongside a specialized term pĭ̮ə̑r̜ɛs̜ 'old (animate); elder' and a term used of reindeer mǡᵈt̜erii̭."
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Itkonen 1958:in passim,,
UT116,Is there contrastive length for consonants?,1,Korhonen 1984:320-322,UT116-1; UT116-2; UT116-3,
UT117,Is there contrastive length for vowels?,1,Korhonen 1984:318-320,UT117-1; UT117-2; UT117-3,Quantitative contrast is accompanied by qualitative differences. Short vowels are centralised. Different phonological solutions are possible in this case.
UT118,Is there a contrast between short and long unstressed vowels?,0,Korhonen 1984:317-318,,"When editing texts collected by Europaeus, T.I. Itkonen (1931) marks long ī in unstressed syllaables. Now it is reinterpreted as sequence ij (cf. Korhonen 1984)."
UT119,Is there a contrast in the length of geminate consonants?,1,Korhonen 1984:320-322,"UT119-1, UT119-2, UT119-3",
UT120,Are there more than two phonological quantities?,1,Korhonen 1984:320-322,"UT120-1, UT120-2, UT120-3",
UT121,Are there extralong syllables?,1,Itkonen 1916:in passim,"UT121-1, UT121-2",
UT122,Is the main foot structure trochaic?,1,Korhonen 1984:312-313,"UT122-1, UT122-2",
UT123,Is there lexically distinctive word stress?,0,Korhonen 1984:312-313,,
UT124,Is there morphologically conditioned stress?,1,Korhonen 1984:313,"UT124-1, UT124-2",
UT125,Is there fixed primary stress?,1,Korhonen 1984:312,"UT125-1, UT125-2, UT125-3",
UT126,Is there stress in heavy syllables?,0,Korhonen 1984:312-313,,
UT127,Is there non-initial primary stress?,0,Korhonen 1984:312-313,,
UT128,Is there palatal vowel harmony?,0,Korhonen 1984:316-320,,
UT129,Is there velar vowel harmony?,0,Korhonen 1984:316-320,,
UT130,Is there labial vowel harmony?,0,Korhonen 1984:316-320,,
UT131,Are there closing diphthongs?,0,Korhonen 1984:316,,
UT132,Are there opening diphthongs?,1,Korhonen 1984:316,"UT132-1, UT132-2, UT132-3, UT132-4",
UT133,Is there a qualitative contrast between subsets of short and long vowels?,1,Korhonen 1984:318-320,UT117-1; UT117-2; UT117-3,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Korhonen 1984:316,,
UT135,Is there a high front rounded vowel /y/?,0,Korhonen 1984:316,,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Korhonen 1984:316,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Korhonen 1984:316,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Korhonen 1984:316,,
UT139,Is there a low back rounded vowel /ɒ/?,0,Korhonen 1984:316,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,Korhonen 1984:316,,
UT141,Are there word-initial consonant clusters?,1,Itkonen 1958:in passim,"UT141-1, UT141-2, UT141-3",
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Itkonen 1958:in passim,,
UT143,Are there consonant clusters in the syllable coda?,1,Korhonen 1984; Itkonen 1958:in passim,"UT143-1, UT143-2, UT143-3",
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Korhonen 1984:322,"UT144-1, UT144-2, UT144-3",
UT145,Are there word-final clusters of three or more consonants?,0,Itkonen 1958:in passim,,
UT146,Are there palatalized alveolar consonants?,1,Korhonen 1984:320,"UT146-1, UT146-2, UT146-3",
UT147,Are there palatalized labial and velar consonants?,1,Korhonen 1984:320,"UT147-1, UT147-2",
UT148,Is there a palatal stop?,0,Korhonen 1984:320,,
UT149,Is there a palatal nasal /ɲ/?,1,Korhonen 1984:315,UT149,
UT150,Is there a palatal lateral /ʎ/?,1,Korhonen 1984:315,UT150,
UT151,Is there a velar nasal /ŋ/?,1,Korhonen 1984:320,"UT151-1, UT151-2",
UT152,Is there an alveolar affricate /t͡s/?,1,Korhonen 1984:320,"UT152-1, UT152-2",
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Korhonen 1984:320,"UT153-1, UT153-2, UT153-3",
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Korhonen 1984:320,"UT154-1, UT154-2",
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Korhonen 1984:320,"UT155-1, UT155-2, UT155-3",
UT156,Is there a glottal stop /ʔ/?,0,Korhonen 1984:320,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Korhonen 1984:320,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Korhonen 1984:320,,
UT159,Is there a laryngeal fricative /h/?,0,Korhonen 1984:320,,"T.I. Itkonen (1958) distinguished between glottal (voiceless vowel in his terms) and velar fricatives. However, Korhonen's (1984:323) description does not confirm this contrast. "
UT160,Is there a voiced velar fricative /ɣ/?,1,Korhonen 1984:320,"UT160-1, UT160-2",[ɣ] is an allophone of /g/occurring before dental obstruents.
UT161,Is there a voiceless velar fricative /x/?,1,Korhonen 1984:320,"UT161-1, UT162-2, UT163-3",
UT162,Is there a voiced dental fricative /ð/?,0,Korhonen 1984:320,,
UT163,Is there a labio-velar approximant /w/?,0,Korhonen 1984:320,,[w] is an allophone of /v/ occurring before other consonant and in word-final position.
UT164,Is there a voiceless labiodental fricative /f/?,1,Korhonen 1984:320,UT164; UT147-1,
UT165,Is there radical qualitative consonant gradation?,1,Itkonen 1916:in passim,UT165-1; UT165-2; UT165-3,
UT166,Is there quantitative consonant gradation?,1,Itkonen 1916:in passim,"UT119-3, UT120-1",
