ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,UT_Experts,GB_Experts,Subfamily
30,Tundra_Nenets,,66.18,71.02,nene1249,yrk,bakro-nagy_nenets_2022;janhunen_glottal_1986;nikolaeva_grammar_2014;salminen_morphological_1998;salminen_tundra_1997;shagal_participial_2018;tereschenko_1956,nikolaevairina soosaarsvenerik,teptiukdenys,Samoyedic
31,South_Selkup,,58.4,82.52,sout3262,sel,abondolo_selkup_2023;bakro-nagy_nominal_2022;behnke_converbal_2020;bekker__1995;ermakova__1998;harder_syntaktische_2021;kuznecova__1987;pozdeeva__2015;wagner-nagy_typology_2011;wegener_differential_2018,budzischjosefina klumppgerson,klumppgerson,Samoyedic
32,Kamas,,55.07,94.83,kama1351,xas,bakro-nagy_kamas_2022;donner_kai_1944;gusev_inel_2019;gusev_inel_2023;klumpp_functions_2017;klumpp_kamas_2016;kunnap_kamassilaisia_1976;szeverenyi_mirative_2024,klumppgerson,klumppgerson tomingasmarili,Samoyedic
33,Nganasan,,72.12,102.83,ngan1291,nio,bakro-nagy_nganasan_2022;fejes_utilization_2018;janhunen_nganasan_2020;klumpp_typology_2018;pajusalu_towards_2018;wagner-nagy_grammar_2018,wagnernagybeata,teptiukdenys,Samoyedic
34,Komi_Permyak,,59.96,54.51,komi1269,koi,bartens_permilaisten_2000;batalova_--_1985;gribanov__1940;karavaev__1940;lytkin_-_1962;mayshev__1940;noauthor_komi-permyak_nodate;tsypanov_-_1999,kuznetsovnikolay,fgulyasnikolett kuznetsovnikolay,Permic
35,Ume_Saami,,65.3,17.97,umes1235,sju,kejonen_dual_2017;larsson_grenzen_2012;sammallahti_remarks_2012;schlachter_worterbuch_1958;siegl_ume_2017;von_gertten_huvuddrag_2015,egorovilya,egorovilya niinemagimerit,Saami
36,Kildin_Saami,,68.22,35.83,kild1236,sjd,antonova_saam-ruuss_2021;antonova_saamsko-russkij_2014;bjarnson_phonemic_1976;burov_materials_2023;buzanov_diphthongs_2023;egorov_syncretism_2022;itkonen_koltan-_1931;kert_o_1987;kert_obrazcy_1961;kert_saamskij_1971;kosheleva_polysemy_2024;kuruch_saamsko-russkij_1985;kuzmenkov_k_2012;potseluev_morphosyntax_2024;riesler_kildin_2022;szabo_functions_1984;szabo_functions_1984-1;szabo_functions_1984-2;szabo_infinitive_1985;szabo_kolalappische_1968;uckspt;wilbur_syllable_2007,egorovilya,egorovilya,Saami
37,Ter_Saami,,67.25,38.51,ters1235,sjt,genetz_kuollan_1891;itkonen_koltan-_1931;itkonen_koltan-_1958;itkonen_venajanlapin_1916;kert_obrazcy_1961;kert_obrazcy_1988;kert_saamskij_1971;korhonen_konjugation_1974;korhonen_zur_1984;lehtiranta_yhteissaamelainen_1989;sammallahti_ter_1996;sienkiewicz-gudkova_ustinja_1960;szabo_functions_1984;szabo_functions_1984-1;szabo_functions_1984-2;szabo_infinitive_1985;szabo_kolalappische_1967;szabo_kolalappische_1968;tereshkin_jokangskij_2002,egorovilya,egorovilya,Saami
38,Akkala_Saami,,67.86,32.4,akka1237,sia,buzanov_diphthongs_2023;eliseev_-_2007;genetz_kuollan_1891;kert_obrazcy_1988;zaikov_babinskij_1987,egorovilya,egorovilya,Saami
39,Tundra_Enets,,70.74,84.81,tund1254,enh,0e71351f2e3e40c3bb78a86cf79f9948;abondolo_forest_2023;khanina_intransitive_2019;shluinsky_forest_2025;shluinsky_noun_2020;siegl_2022,,khaninaolesya,Samoyedic
