ID,Feature,Value,Source,Comment,Example
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Zaikov 2013:156-160; Sarhimaa 2022:280,,GB083
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Sarhimaa 2022:280,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Zaikov 2013:146-147,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Zaikov 2013:152; Sarhimaa 2022:280,,GB089
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Sarhimaa 2022:280,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Zaikov 2013:80,,GB091
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Sarhimaa 2022:280,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,Sarhimaa 2022:280,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Sarhimaa 2022:280,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Sarhimaa 2022:286-288,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Sarhimaa 2022:286-288,,
GB099,Is there verb suppletion for participant person?,0,Zaikov 2013:in passim,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Sarhimaa 2022:279-283,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Sarhimaa 2022:279-283,,
GB105,Can the recipient in a ditransitive construction be marked like the transitive patient?,0,Zaikov 2013:75-102,,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Zaikov 2013:151-172; Sarhimaa 2022:285,,
GB108,Is there directional or locative morphological marking on verbs?,0,Sarhimaa 2022:279-283,,
GB109,Is there verb suppletion for participant number?,0,Zaikov 2013:in passim,,
GB110,Is there verb suppletion for tense or aspect?,0,Zaikov 2013:in passim,,
GB111,Are there conjugation classes?,1,"Zaikov 2013:157, 160",,GB111
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Zaikov 2013:212,,GB113
GB114,Is there a phonologically bound reflexive marker on the verb?,1,Zaikov 2013:212,,GB114
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,Zaikov 2013:211-214,,
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Zaikov 2013:in passim,,
GB117,Is there a copula for predicate nominals?,1,Zaikov 2013:256; Sarhimaa 2022:287,,GB117
GB118,Are there serial verb constructions?,0,Zaikov 2013:in passim,,
GB119,Can mood be marked by an inflecting word (‘auxiliary verb’)?,1,Sarhimaa 2022:282-283,,
GB120,Can aspect be marked by an inflecting word (‘auxiliary verb’)?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB121,Can tense be marked by an inflecting word (‘auxiliary verb’)?,1,Sarhimaa 2022:280,,GB121
GB122,Is verb compounding a regular process?,0,Zaikov 2013:in passim,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,?,Zaikov 2013:in passim,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Zaikov 2013:in passim,,
GB126,Is there an existential verb?,0,Zaikov 2013:in passim,,
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?,0,Zaikov 2013:in passim,,
GB129,Is there a notably small number of verb roots in the language?,0,Zaikov 2013:in passim,,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,Zaikov 2013:146,,GB130
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,Sarhimaa 2022:285,,
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,1,Zaikov 2013:80; Sarhimaa 2022:285,,GB132
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,0,Sarhimaa 2022:285,,
GB134,Is the order of constituents the same in main and subordinate clauses?,1,"Zaikov 2013:80, 242","However, not necessarily.","GB132, GB134"
GB135,Do clausal objects usually occur in the same position as nominal objects?,1,Torikka 2009:muistoa,,"GB135-1, GB135-2"
GB136,"Is the order of core argument (i.e. S, A, and P) constituents fixed?",0,"Zaikov 2013:75, 85",,
GB137,Can standard negation be marked clause-finally?,0,Zaikov 2013:151-172,,
GB138,Can standard negation be marked clause-initially?,1,Torikka 2009:ei,"However, further research is needed.",
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,1,"Zaikov 2013:153-154, 174",,"GB139-1, GB139-2"
GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",1,"Zaikov 2013:153-154,161-163",,"GB140-1, GB140-2, GB140-3"
GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB147,Is there a morphological passive marked on the lexical verb?,1,Sarhimaa 2022:284,,GB147
GB148,Is there a morphological antipassive marked on the lexical verb?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB149,Is there a morphologically marked inverse on verbs?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB150,Is there clause chaining?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB151,Is there an overt verb marker dedicated to signaling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (‘switch reference’)?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB155,Are causatives formed by affixes or clitics on verbs?,1,Zaikov 2013:212,,GB155
GB156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for ‘to say’?,0,Zaikov 2013:in passim,,
GB158,Are verbs reduplicated?,0,Zaikov 2013:in passim; Sarhimaa 2022:in passim,,
GB159,Are nouns reduplicated?,0,Zaikov 2013:103-111,,
