Feature_ID,Value,Source,Comment
GB306,0,"Miina Norvik & Eva Saar, p.c.",
GB309,0,"Miina Norvik & Eva Saar, p.c.",
GB312,1,"Miina Norvik & Eva Saar, p.c.",
GB313,0,"Miina Norvik & Eva Saar, p.c.",
GB314,0,"Miina Norvik & Eva Saar, p.c.",
GB315,0,"Miina Norvik & Eva Saar, p.c.",
GB316,0,"Miina Norvik & Eva Saar, p.c.",
GB317,0,"Miina Norvik & Eva Saar, p.c.",
GB318,0,"Miina Norvik & Eva Saar, p.c.",
GB319,0,"Miina Norvik & Eva Saar, p.c.",
GB320,0,"Miina Norvik & Eva Saar, p.c.",
GB321,0,"Miina Norvik & Eva Saar, p.c.",
GB322,0,"Miina Norvik & Eva Saar, p.c.",
GB323,1,"Miina Norvik & Eva Saar, p.c.",
GB324,0,"Miina Norvik & Eva Saar, p.c.",
GB325,1,"Miina Norvik & Eva Saar, p.c.",
GB326,0,"Miina Norvik & Eva Saar, p.c.",
GB327,1,"Miina Norvik & Eva Saar, p.c.",
GB328,0,"Miina Norvik & Eva Saar, p.c.",
GB329,0,"Miina Norvik & Eva Saar, p.c.",
GB330,0,"Miina Norvik & Eva Saar, p.c.",
GB331,1,"Miina Norvik & Eva Saar, p.c.",
GB333,1,"Miina Norvik & Eva Saar, p.c.",
GB334,0,"Miina Norvik & Eva Saar, p.c.",
GB335,0,"Miina Norvik & Eva Saar, p.c.",
GB336,0,"Miina Norvik & Eva Saar, p.c.",
GB400,1,"Miina Norvik & Eva Saar, p.c.",
GB401,0,"Miina Norvik & Eva Saar, p.c.",
GB402,0,"Miina Norvik & Eva Saar, p.c.",
GB403,0,"Miina Norvik & Eva Saar, p.c.",
GB408,1,"Miina Norvik & Eva Saar, p.c.",
GB409,0,"Miina Norvik & Eva Saar, p.c.",
GB410,0,"Miina Norvik & Eva Saar, p.c.",
GB415,1,"Miina Norvik & Eva Saar, p.c.",
GB421,1,"Miina Norvik & Eva Saar, p.c.",
GB422,0,"Miina Norvik & Eva Saar, p.c.",
GB430,0,"Miina Norvik & Eva Saar, p.c.",
GB431,0,"Miina Norvik & Eva Saar, p.c.",
GB432,0,"Miina Norvik & Eva Saar, p.c.",
GB433,0,"Miina Norvik & Eva Saar, p.c.",
GB519,0,"Miina Norvik & Eva Saar, p.c.",
GB520,1,"Miina Norvik & Eva Saar, p.c.","The particle ""ära"", as in ""sõin kala ära"" = ""I ate the fish (completely/eaten)"""
GB521,0,"Miina Norvik & Eva Saar, p.c.",
GB522,0,"Miina Norvik & Eva Saar, p.c.",
